Player ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AB Agarkar,0,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MS Dhoni,0,163,9,184,85,39,268,24,77,25,238,252,123
Harbhajan Singh,0,8,1,48,27,15,1,nan,nan,8,0,nan,nan
KD Karthik,31,28,8,4,29,nan,nan,nan,nan,nan,nan,71,181
Z Khan,0,nan,nan,4,9,nan,0,nan,nan,nan,nan,nan,nan
D Mongia,38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IK Pathan,0,34,26,73,nan,nan,39,nan,nan,nan,nan,nan,nan
SK Raina,3,nan,nan,146,319,115,257,19,88,36,220,104,298
V Sehwag,34,138,0,141,nan,nan,81,nan,nan,nan,nan,nan,nan
S Sreeshant,0,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SR Tendulkar,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
G Gambhir,nan,290,9,253,69,nan,311,nan,nan,nan,nan,nan,nan
RP Singh,nan,1,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,nan
RV Uthappa,nan,148,1,nan,nan,1,18,nan,nan,81,nan,nan,nan
Yuvraj Singh,nan,179,nan,302,74,12,224,77,100,nan,166,43,nan
Joginder Sharma,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RG Sharma,nan,88,8,145,94,80,116,8,200,128,497,283,590
YK Pathan,nan,15,nan,107,83,31,0,nan,nan,nan,nan,nan,nan
M Karthik,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
P Kumar,nan,nan,6,nan,0,1,0,nan,nan,nan,nan,nan,nan
I Sharma,nan,nan,3,5,nan,nan,0,0,nan,nan,nan,nan,nan
R Jadeja,nan,nan,nan,56,9,0,9,0,10,nan,19,13,nan
P Ojha,nan,nan,nan,10,0,nan,nan,nan,nan,nan,nan,nan,nan
AB Dinda,nan,nan,nan,19,0,nan,3,nan,nan,nan,nan,nan,nan
A Nehra,nan,nan,nan,19,0,nan,3,nan,nan,nan,nan,nan,nan
S Tyagi,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
M Vijay,nan,nan,nan,nan,108,14,nan,nan,nan,47,nan,nan,nan
PP Chawla,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan
R Vinay Kumar,nan,nan,nan,nan,0,2,0,0,nan,nan,nan,nan,nan
R Ashwin,nan,nan,nan,nan,0,21,32,0,2,11,46,11,nan
V Kohli,nan,nan,nan,nan,26,61,471,29,385,44,641,299,211
NV Ojha,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,nan,nan,nan
A Mishra,nan,nan,nan,nan,0,nan,nan,nan,0,nan,0,0,nan
MM Patel,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
S Badrinath,nan,nan,nan,nan,nan,43,nan,nan,nan,nan,nan,nan,nan
S Dhawan,nan,nan,nan,nan,nan,5,nan,32,64,14,301,127,689
PA Patel,nan,nan,nan,nan,nan,36,nan,nan,nan,nan,nan,nan,nan
R Dravid,nan,nan,nan,nan,nan,31,nan,nan,nan,nan,nan,nan,nan
AM Rahane,nan,nan,nan,nan,nan,61,113,nan,62,37,102,nan,nan
MK Tiwari,nan,nan,nan,nan,nan,15,0,nan,nan,nan,nan,nan,nan
Rahul Sharma,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
UT Yadav,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0
L Balaji,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
P Awana,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
B Kumar,nan,nan,nan,nan,nan,nan,6,0,0,9,0,3,4
Mohammed Shami,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,nan
AT Rayudu,nan,nan,nan,nan,nan,nan,nan,nan,3,0,39,nan,nan
KV Sharma,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
STR Binny,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,0,nan,nan
KM Jadhav,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,77,31,nan
MK pandey,nan,nan,nan,nan,nan,nan,nan,nan,nan,19,48,172,299
AR Patel,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,38,5,1
Sandeep Sharma,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan
SV Samson,nan,nan,nan,nan,nan,nan,nan,nan,nan,19,nan,nan,nan
S Arvind,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
JJ Bumrah,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,8,0
HH Pandya,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78,76,117
P Negi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
