Player ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AB Agarkar,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MS Dhoni,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbhajan Singh,0,0,0,0,0,0,0,nan,nan,0,0,nan,nan
KD Karthik,0,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0
Z Khan,0,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan
D Mongia,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IK Pathan,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan
SK Raina,0,nan,nan,0,1,0,0,0,0,0,0,0,0
V Sehwag,0,0,0,0,nan,nan,0,nan,nan,nan,nan,nan,nan
S Sreeshant,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SR Tendulkar,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
G Gambhir,nan,0,0,0,0,nan,0,nan,nan,nan,nan,nan,nan
RP Singh,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
RV Uthappa,nan,0,0,nan,nan,0,0,nan,nan,0,nan,nan,nan
Yuvraj Singh,nan,0,nan,0,0,0,0,0,0,nan,0,0,nan
Joginder Sharma,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RG Sharma,nan,0,0,0,0,0,0,0,0,1,0,1,2
YK Pathan,nan,0,nan,0,0,0,0,nan,nan,nan,nan,nan,nan
M Karthik,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
P Kumar,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan
I Sharma,nan,nan,0,0,nan,nan,0,0,nan,nan,nan,nan,nan
R Jadeja,nan,nan,nan,0,0,0,0,0,0,nan,0,0,nan
P Ojha,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
AB Dinda,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan
A Nehra,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan
